term,estimate,std.error,statistic,p.value,IRR,IRR_low,IRR_high
ZIP92270,0.6062112935733461,6.352056783826496e-15,95435433624723.17,0,1.8334717368961997,1.8334717368961768,1.8334717368962226
ZIP92276,0.32635835007762914,4.066311206370043e-15,80259068604088.98,0,1.3859119215422988,1.385911921542288,1.38591192154231
ZIP92282,0.5748799485255756,6.699595179364798e-15,85808162006003.64,0,1.7769171925798446,1.7769171925798213,1.776917192579868
ZIP92320,1.1729135591656872,5.673457153549229e-15,206737008392128.28,0,3.2313937934724417,3.2313937934724057,3.2313937934724772
ZIP92501,2.0088444897530846,4.9041581647709084e-15,409620657054588.56,0,7.454698388255149,7.454698388255077,7.454698388255222
ZIP92503,0.8400594169436512,5.0204810746490765e-15,167326478170694.03,0,2.3165046123161273,2.3165046123161046,2.3165046123161503
ZIP92504,0.8029966610157987,4.700559601515763e-15,170830013676852.62,0,2.2322201228744056,2.232220122874385,2.232220122874426
ZIP92505,0.30069401436294474,4.91131117504789e-15,61224793877983.66,0,1.3507959541353793,1.3507959541353662,1.3507959541353922
ZIP92506,1.0137454784995414,5.3951234913564985e-15,187900328903250.9,0,2.7559038871354056,2.7559038871353763,2.755903887135435
ZIP92507,1.0093768893143988,4.627738505830543e-15,218114504102311.06,0,2.7438907345884043,2.7438907345883794,2.743890734588429
ZIP92508,0.36719665900922643,7.725516562387514e-15,47530369787434.25,0,1.4436818042332387,1.4436818042332167,1.4436818042332606
ZIP92518,3.403514005815954,4.336342712991832e-15,784881230816676.1,0,30.069579288025707,30.069579288025455,30.06957928802596
ZIP92532,0.4432119039754423,5.697369247648847e-15,77792378325899.11,0,1.5577023826987146,1.5577023826986973,1.557702382698732
ZIP92536,0.6582470066130341,4.15625359037732e-15,158375082823874.6,0,1.9314036272930362,1.9314036272930204,1.9314036272930517
ZIP92539,1.5210642106778784,1.0991471135910656e-14,138385862262636.64,0,4.577093596059141,4.577093596059043,4.57709359605924
ZIP92543,2.866461344997808,5.324846639173524e-15,538318103644523.9,0,17.574717173092196,17.57471717309201,17.574717173092385
ZIP92544,2.172658871117886,4.599377268643208e-15,472381095138735.8,0,8.781602175438957,8.78160217543888,8.781602175439035
ZIP92545,1.5835031312803398,5.86289906056472e-15,270088758977852.03,0,4.871993183456777,4.871993183456721,4.8719931834568335
ZIP92548,1.0604953432434228,4.927230140158951e-15,215231542484681.16,0,2.887801087801085,2.8878010878010576,2.8878010878011127
ZIP92549,0.733913869190031,4.5585625357084594e-15,160996775505674.03,0,2.083218115914944,2.0832181159149257,2.0832181159149625
ZIP92551,0.3832864712145376,4.585784755378216e-15,83581435165490.19,0,1.4670982512927764,1.467098251292763,1.4670982512927895
ZIP92553,-0.0208712352105412,5.395123491100332e-15,-3868537067774.24,0,0.9793450616115218,0.9793450616115114,0.9793450616115321
ZIP92555,0.09756236499649255,5.27387078070614e-15,18499195193293.973,0,1.1024801955929127,1.1024801955929013,1.102480195592924
ZIP92561,-22.963353847434213,0.999999999999999,-22.963353847434234,1.0838097167011844e-116,1.0644913532664523e-10,1.4994257110521915e-11,7.557172274869714e-10
ZIP92562,0.9898214825163614,5.18814047627502e-15,190785405106654.56,0,2.6907540828236174,2.69075408282359,2.690754082823645
ZIP92563,0.6467763837890399,5.653044868547575e-15,114412037906788.23,0,1.9093758027228358,1.9093758027228147,1.9093758027228571
ZIP92567,-1.3936262930877927,6.699595179455781e-15,-208016492901142.62,0,0.24817372026870035,0.2481737202686971,0.2481737202687036
ZIP92570,0.6162877906585171,5.060120066017462e-15,121793116095674.56,0,1.8520401044469665,1.8520401044469483,1.852040104446985
ZIP92571,0.3759532802140021,4.5958329105617524e-15,81803078469197.22,0,1.4563790904621758,1.4563790904621627,1.456379090462189
