term,estimate,std.error,statistic,p.value,IRR,IRR_low,IRR_high
ZIP92532,-0.49087415821680924,2.277987196437404e-15,-215485916244173.16,0,0.612091095789938,0.6120910957899353,0.6120910957899407
ZIP92536,1.110455305540675,1.790180832252032e-15,620303427192733.25,0,3.0357402691887994,3.0357402691887883,3.03574026918881
ZIP92539,-24.42792487205666,0.9999999999999994,-24.427924872056675,8.639013092093923e-132,2.4608606608177863e-11,3.466329467895136e-12,1.7470454692922898e-10
ZIP92543,1.7317045873434038,3.0563727430543845e-15,566588152992368.9,0,5.650277095140177,5.650277095140143,5.65027709514021
ZIP92544,1.4344473321242928,2.682485828901436e-15,534745539629465.56,0,4.197324641157579,4.197324641157556,4.197324641157601
ZIP92545,0.8629911693861452,2.682485823138006e-15,321713226568559.1,0,2.3702398898866113,2.370239889886599,2.3702398898866233
ZIP92548,0.9530878542356376,3.776390630415343e-15,252380632066872.03,0,2.593706293706293,2.5937062937062736,2.5937062937063122
ZIP92549,-24.521928032984498,0.9999999999999994,-24.521928032984512,8.622067564512382e-133,2.24007195910185e-11,3.1553299890859912e-12,1.5903003487150162e-10
ZIP92551,-0.7739431422919222,1.5543122602148607e-15,-497932855644422.44,0,0.4611909367228521,0.4611909367228507,0.4611909367228535
ZIP92553,0.3135540280607121,2.7103998153041012e-15,115685525910328.47,0,1.368279386246566,1.3682793862465588,1.3682793862465734
ZIP92555,-0.09208322224826464,2.9326704775829703e-15,-31399102951435.99,0,0.9120292452623978,0.9120292452623926,0.912029245262403
ZIP92557,-0.10740748900778496,2.710399836193358e-15,-39627913038333.945,0,0.8981596082440948,0.89815960824409,0.8981596082440996
ZIP92561,-23.817998367946533,0.9999999999999993,-23.817998367946547,2.1741234494229528e-125,4.528712374218114e-11,6.379072738379618e-12,3.215081032859632e-10
ZIP92562,-0.2627183107944251,1.6165091715259485e-15,-162522004466219.56,0,0.7689584741077469,0.7689584741077444,0.7689584741077493
ZIP92563,0.5999935165976886,2.9504129997231217e-15,203359162481318.5,0,1.8221069868995627,1.8221069868995523,1.8221069868995734
ZIP92567,-25.550855906594247,0.9999999999999994,-25.55085590659426,5.371711167559697e-144,8.005791436520617e-12,1.1276831399715217e-12,5.6835731823289864e-11
ZIP92570,0.2699883933683854,1.9540485800747956e-15,138168721147173.84,0,1.3099492465466744,1.3099492465466693,1.3099492465466793
ZIP92571,-1.2820516212049484,2.2779872085180517e-15,-562800184483471.8,0,0.2774674579821456,0.2774674579821444,0.27746745798214684
ZIP92582,0.6073568037230078,2.9326704495248887e-15,207100256976164.34,0,1.835573200774239,1.8355732007742283,1.8355732007742496
ZIP92583,-0.7022129391288936,1.5543122573772302e-15,-451783697771140.44,0,0.4954876057592409,0.4954876057592394,0.4954876057592424
ZIP92584,0.2662455808484622,1.9540486300301957e-15,136253303401332.42,0,1.3050555159771347,1.3050555159771298,1.3050555159771398
ZIP92585,0.12359661249789891,2.1981294603579647e-15,56228086073588.79,0,1.1315593220338982,1.1315593220338933,1.131559322033903
ZIP92586,1.5547787466216716,2.2413592594370727e-15,693676723209540.75,0,4.734038987158989,4.734038987158968,4.73403898715901
ZIP92587,-0.09653222965218737,1.5543122573772302e-15,-62106072440731.63,0,0.9079806332281602,0.9079806332281575,0.907980633228163
ZIP92590,-24.811700516440492,0.9999999999999991,-24.811700516440514,6.7033464087333194e-136,1.6765456342299465e-11,2.3615557063970278e-12,1.1902345797058818e-10
ZIP92591,-0.9150137417996312,1.554312200808243e-15,-588693662266707.9,0,0.4005111223094101,0.4005111223094089,0.4005111223094113
ZIP92592,-0.32601898811351104,2.266418281712208e-15,-143847669578103.6,0,0.721791481843006,0.7217914818430028,0.7217914818430092
ZIP92595,0.1900261860853167,2.932670456465459e-15,64796297063101.28,0,1.2092812635849866,1.2092812635849794,1.2092812635849934
ZIP92596,-26.784350300330043,0.9999999999999991,-26.78435030033007,4.917183792882351e-158,2.3318706874465344e-12,3.2846362282579137e-13,1.655471268383454e-11
ZIP92860,-0.41469907775272574,2.2779871993116647e-15,-182046272199437.56,0,0.6605390216875101,0.6605390216875072,0.6605390216875131
ZIP92879,0.1807743969855065,2.266418267884802e-15,79762151385330.67,0,1.198144843711544,1.1981448437115387,1.1981448437115494
ZIP92881,-1.279038091348928,2.360366532574796e-15,-541881133161846.2,0,0.27830487560861755,0.2783048756086163,0.2783048756086189
ZIP92882,-0.5085402786650904,2.932670491372675e-15,-173405188261386.12,0,0.601372775095482,0.6013727750954785,0.6013727750954855
ZIP92883,-1.5436879891013908,2.3603665678814347e-15,-654003496790305.75,0,0.21359192239768643,0.21359192239768543,0.21359192239768743
ZIPCalifornia,0.24760456416558063,1.7995554419540448e-15,137592073238221.3,0,1.280953297193878,1.2809532971938733,1.2809532971938824
