ZIP,ed_coef,StdError,pValue,Outcome,IRR
92583,1.287925797312671,0.26335940851587203,1.006449675802452e-6,ED Visits,1.3012943311790641
92584,0.21950239002898728,0.2909571869813229,0.45060022455225496,ED Visits,1.3377073114359304
92585,0.07685342167842396,0.3618734322278724,0.8318132991448779,ED Visits,1.436017176962974
92586,1.0560504320591393,0.30860669992418327,6.216356939516447e-4,ED Visits,1.361526776601301
92587,0.8981784543564981,0.3262553862096564,0.005905334691922653,ED Visits,1.385769230036348
92590,0.03867627762585199,0.7400128699009544,0.9583180741404342,ED Visits,2.095962489150423
92591,-0.35562112904879334,0.3721936841593877,0.3393383994640324,ED Visits,1.4509139731336764
92592,0.6770599455656928,0.25354627641855465,0.00757698628057252,ED Visits,1.2885870092973402
92595,1.0461507068078584,0.2732143382878623,1.286401254689546e-4,ED Visits,1.314181894136674
92596,-0.8353612175956877,0.4629100498862754,0.07113941526010562,ED Visits,1.588690433103691
92860,0.9248520925476906,0.2988071523335979,0.0019671530598167875,ED Visits,1.3482495916129777
92879,0.5552446712423368,0.2808363360020339,0.04802905966019068,ED Visits,1.3242368563006928
92881,0.4088197732197037,0.3262553862096565,0.21018141905924312,ED Visits,1.3857692300363482
92882,0.2630268540293866,0.27754425291280993,0.3432855667534845,ED Visits,1.3198845265862738
92883,-1.0796055561548767,0.4976133515281188,0.030039655980918702,ED Visits,1.6447910444986096
