term.x,estimate.x,std.error.x,statistic.x,p.value.x,IRR_ed,IRR_low.x,IRR_high.x,ZIP,term.y,estimate.y,std.error.y,statistic.y,p.value.y,IRR_hosp,IRR_low.y,IRR_high.y,term,estimate,std.error,statistic,p.value,IRR_death,IRR_low,IRR_high,Severity_Score,Normalized_Severity
ZIP92539,1.5210642106778784,0.46291004988627665,3.2858742450105782,0.0010166638775271426,4.577093596059141,1.8473961936999634,11.340169400873013,92539,ZIP92539,-23.964431861022693,189338.66076838167,-1.2656914210636795e-4,0.999899012435909,3.911825566788944e-11,0,Inf,ZIP92539,1.8940261233684916,0.6666666311729197,2.8410393363114346,0.004496676545167331,6.646072796934936,1.799274515252596,24.548940835722117,24.515311986942187,0.41719840169002853
ZIP92545,1.5835031312803398,0.2439750182371331,6.490431449589005,8.559090400979374e-11,4.871993183456777,3.020193440279217,7.859204401640868,92545,ZIP92545,1.3264841804200524,0.5717718748968651,2.319953531571172,0.020343391238321216,3.7677732625461444,1.228546665790691,11.555210520897077,ZIP92545,1.2633178634110043,0.3984095361830615,3.1709026734504016,0.0015196604933541051,3.5371377801082255,1.6200378633264498,7.722871149307092,23.018953048873744,0.3890679658677596
ZIP92276,0.32635835007762914,0.5455447255899799,0.5982247371646542,0.5496899877146827,1.3859119215422988,0.47573720666998953,4.037421978654402,92276,ZIP92276,-24.753672613606227,189338.6607621561,-1.3073754992225996e-4,0.999895686527697,1.7767101241425817e-11,0,Inf,ZIP92276,1.9520832312636123,0.5039526297645733,3.8735450833455283,1.0726355302175832e-4,7.043345224629498,2.6230931866839375,18.91229492156377,22.515947595466326,0.3796118372175083
ZIP92201,2.1793449959728424,0.2283504641923804,9.543860590258275,1.3761193777105844e-21,8.840513789748298,5.650738871374255,13.830878730328351,92201,ZIP92201,0.46947232665641936,0.6123724356957951,0.7666450991103011,0.44329255365069353,1.5991501416430585,0.4815450008352611,5.310575690914239,ZIP92201,1.0253452180535882,0.390867979720379,2.6232520217877773,0.008709482098236784,2.7880577823317783,1.2959681928717932,5.998037791649554,20.402987420029753,0.3398897564399817
ZIP92264,0.16540681901987042,0.3984095364447972,0.41516782077024617,0.6780190538868984,1.1798730158730144,0.5403914343965461,2.57609622391561,92264,ZIP92264,1.3687902014331956,0.6454972243679031,2.1205206618410637,0.03396216095577721,3.930592592592576,1.1091998389353528,13.928561460820832,ZIP92264,0.9802014839895202,0.5039526297645733,1.9450270245587,0.051771725835772234,2.664993141289439,0.9925007405615953,7.15585203402575,17.036037624926482,0.2765936028779131
ZIP92583,1.287925797312671,0.26335940851587203,4.890373214955982,1.006449675802452e-6,3.6252592294153776,2.1635509747136403,6.074506509929063,92583,ZIP92583,-0.2387199280949885,0.8660254037844388,-0.2756500294931394,0.7828168797270837,0.7876354460442305,0.14426570165699348,4.300187700471498,ZIP92583,1.2979822163139132,0.4166666664059558,3.1151573211025645,0.001838468272385058,3.6619002853231764,1.6182261118228989,8.286551305580167,16.186230977473368,0.26061786954993543
ZIP92234,0.550550403340062,0.2775442529128101,1.9836490850092154,0.04729497319208704,1.7342072687049357,1.0065953174634683,2.9877695620595626,92234,ZIP92234,0.8302629465816106,0.6009252125773311,1.38164105816207,0.16708194057917064,2.2939218398754946,0.7064316489974246,7.44881322195257,ZIP92234,1.1348214096978757,0.39840953618306074,2.848379134119042,0.00439425410554087,3.1106179670938414,1.4246883209851642,6.791621714506762,15.653904849737449,0.25061053401577416
ZIP92270,0.6062112935733461,0.3618734322278725,1.6752025420634182,0.09389449897835189,1.8334717368961997,0.9020840327587452,3.726502729148964,92270,ZIP92270,0.4233003148667811,0.8660254037844386,0.48878510147277887,0.6249938468171701,1.5269928057553936,0.279688642320336,8.336795550525624,ZIP92270,1.2668552787157357,0.4859126573125585,2.6071666577329835,0.009129491344258394,3.549672262190252,1.3695523994829695,9.200212546609862,15.536474134977743,0.24840292386217344
ZIP92236,1.5082976803905952,0.24762406538144402,6.0910787409422005,1.1215236725246145e-9,4.519031406984943,2.7814251230399827,7.342151578395286,92236,ZIP92236,0.21298109088358838,0.7071067811865492,0.3012007472565867,0.7632614200408956,1.2373612536143994,0.3094611457636962,4.947512451580315,ZIP92236,0.9919975335949707,0.42163702109287277,2.352728731039171,0.018636224088415365,2.6966156763983444,1.1801058734367722,6.161935356715184,15.083600943408776,0.2398892444721859
ZIP92570,0.6162877906585171,0.2694792155603979,2.286958529907067,0.02219824376383277,1.8520401044469665,1.0921172393238825,3.140736566527819,92570,ZIP92570,0.7334814044022917,0.6009252125773314,1.2205868368485238,0.22224249270508578,2.0823173922143106,0.6412663603210703,6.761692161346539,ZIP92570,1.0845598831534513,0.3956837832887842,2.7409763274576777,0.0061256920707334185,2.958137606002819,1.3621085705913447,6.424288257909661,14.891087706884045,0.23627013871672678
ZIP92548,1.0604953432434228,0.4364357804719839,2.429900092280585,0.015102985378967329,2.887801087801085,1.227644057132925,6.793007365816759,92548,ZIP92548,1.416580865269547,0.8660254037844388,1.6357266877844916,0.10189680141767832,4.122999222999218,0.7551810660941471,22.509995756081242,ZIP92548,0.18069428748542446,1.0540879661360634,0.17142239859524225,0.8638916439146012,1.1980488647715521,0.15178652855155225,9.456182284931282,14.727946128114178,0.2332031982956983
