ZIP,death_coef,housing,healthcare_access,insured,above_poverty,economic_domain,education_domain,neighborhood_domain,homeownership,ownsevere,social_domain,transportation
92262,1.6869007971366567,-0.6750061688718992,-0.18320800190756564,-0.018748050910463623,-0.4154718497638477,-0.1324388809787576,0.4537466841974414,0.40214981788019216,-0.9646038045997568,0.6896932018094108,-0.23235360553344087,-1.3009659293524334
92264,1.1771610033969002,0.08620447727140601,0.4563097562647371,0.222275789636554,0.032267248396270376,0.35155764788045807,0.7391117123827932,0.357952150221519,-0.31314921132721907,0.697998815090802,0.11242401451631814,-0.23814638082529666
92270,1.4638147981231182,-0.8368003361952941,1.1178270705345168,1.0327977915031452,0.8626969333488969,0.9374821914298969,0.5220629165052298,-0.6931864230735126,1.2558274708009252,1.9732681830005927,0.037238628238531656,-0.3539813807841013
92276,2.1490427506709913,0.4066287191697993,-0.6308810299837302,-0.4332737019969465,-0.10383429749742447,-0.11211765186933464,-6.071739277540963,-0.6023876345575115,0.602266946726874,0.28880825536490434,-0.6604955455084065,-0.5840311447533505
92320,1.2573271754819793,1.364765308943313,1.2730631827370893,0.7318807074383364,0.683806212223862,0.25253045297083876,1.0545564624274466,-1.5480120851625172,1.460591644821717,-0.7653870360054835,1.047527162446184,0.023614249003189702
92501,1.7097280748274664,-0.5948653539248117,-0.6376754923653009,-0.5879859518938105,-0.07064330308377516,0.03697370443405891,0.22975120521828601,2.234437379820454,-2.2761370966794026,-0.45522349547193297,-0.10911454878842095,0.5235981433240692
92503,0.7550548813018965,-0.3941474858847755,-0.4966514401534941,-0.4511908933958912,0.08432593453964106,0.2539417284310044,-0.029246402868387613,0.07011145648718185,-0.44337891431339205,-1.0402190599903434,0.039542241172527526,-0.10065888686237601
92504,-0.19569782480005443,-0.47090669985405775,-0.003626375856201897,-0.012416229111495956,0.05263239752500821,0.2680114480906609,-0.1712434403334695,0.4984473330217733,-0.8322318319575679,-0.8907315629219238,0.2548403048951709,-0.2713586586576801
92505,0.2138359100718653,-0.8612453742765205,-0.2988217453843651,-0.1683409542172599,0.24133067357141907,0.45932998371363737,-0.18418744772008355,0.47422067294838677,-1.5650999862975543,-0.7266429558172405,-0.29792146732403585,0.2891680453545207
92506,0.8460679674667534,1.2705263631490282,0.813654892594072,0.882853223742665,1.1208859139158154,1.229713466650707,0.8402247051298699,0.9200738673677505,0.7780153259914845,-1.3422603400584836,1.4689586147224856,0.25975476946345816
92507,1.1580848563360875,-1.5450755568601284,-0.7743039986448642,-0.2995244586349639,-1.1097483584587604,-0.687391501876932,0.5336908380500167,1.4862779429583994,-3.2790835686729025,-0.37229562406909894,-0.8196510898665326,0.5077512826896367
92508,-0.2668547132187122,1.4520613591948195,1.0911927840995588,1.0680846088113747,1.314061401621943,1.4939632405268217,0.7708168644118852,-0.23607295114183402,0.9815416791570277,-1.3316112663038062,1.293147956494493,1.204211911731766
92532,0.5431297068276988,0.5820930898237843,0.5687703282355375,0.9122583661186452,0.6189821674634158,0.477523805401176,-0.1641719897179007,0.5252010172113987,1.1073067702373824,-0.6517046286108953,0.3373487822216207,0.7243507248902146
92536,1.9213156192712064,1.1663048776802565,0.33800523019233075,1.2381104238698164,-0.0581636300181783,-1.0478404058093396,-0.9934279205765566,-0.29677816946601704,0.847021738991976,-0.3682092874113535,-1.374071835358782,0.7268772509269799
92539,2.0909856427758737,0.7886007710995118,0.02509633223976824,-0.7270095483360038,-1.427057376320253,-1.4857058378646206,-1.591088735128687,-0.4470210059431246,0.7196076655988577,-0.03375976786096153,-1.826113143999237,1.2590785631045895
92543,2.0799413791255894,-1.6729351065012747,-0.12798232842456034,-0.1437239310218314,-1.6118317639115254,-2.001803407025469,-0.3597110596951473,-1.2526519765124489,-1.755040343782202,0.4839953406698115,-0.9573649018974865,-3.397938596414058
92544,1.552160465294645,0.0432664649795484,-0.8354477098178213,-0.8887782861134449,-0.7997161079709922,-1.0065748196271829,-0.009309125097169456,-1.6062203437072808,-0.09387297882346854,-0.2345312594437521,-0.28518820449823623,-1.0118960398646968
92545,1.460277382818383,0.03802097347045119,0.05120264739809314,-0.09835512499624749,-0.4556918442860618,-0.9360253454766944,-0.2645988080828469,-0.3699895456159657,0.04953693316410185,0.2237927130344719,0.15155317214246075,-1.1054576128184401
92548,0.37765380689280714,-0.0330241955065975,-1.4701430193998797,-1.848030805303992,-0.9053712061835275,-1.0565407263491728,-0.07527319967159017,-2.0933121452671535,-0.4320884058861653,-0.08684252543772401,-0.4234834138115207,0.7015018356068783
92551,0.95320790331253,-0.4447988608546388,-0.5729297989728317,-0.8443322770731309,-0.31536903118252757,-0.4802522788560814,-0.051015069419020884,1.0231033708954376,-0.14008884441080421,0.30895404666496584,-0.4841816550644786,0.7567483296716428
92553,-0.6673451274370417,-1.4877022409173652,-1.2473529113307384,-1.0936074872581836,-1.2589003848790505,-1.118021452441057,-0.4012066697467606,0.6408591923269973,-1.854078313033753,0.12721227416358288,-1.0058612332731125,-1.0090324099867485
92555,0.7187770914820332,0.7669582004153882,0.4963417549422484,0.38540910414779683,0.6936419778708786,0.6414595178572756,0.32923584836174385,0.7634261357627261,0.7280600842083388,-0.40940752782075046,0.3462291791385528,1.2740152824276365
92557,0.415770752270734,0.10930359850469507,-0.15356742633589543,-0.14984579748117008,0.05119115409186522,0.18107120418206923,-0.16624555384251044,0.5669966588630262,-0.18454105445406457,-0.5955307368442417,0.10717729061140303,0.2953979603994917
92562,0.6281847106094082,0.9499547666276507,0.7927274550928751,0.7754327236557309,1.1914374522990738,1.1500688173339435,0.7545100269616563,1.180807796179784,0.03375208589468227,-0.7852882053649367,1.0835171910259505,-0.07582268290538915
92563,0.5235506353270843,0.9030116793660508,0.8604922764815882,0.8270546923863631,1.3089700300366878,1.0005607744622127,0.5550989217473435,0.2136276499045918,0.10047926546593228,-0.9088183986298182,1.0172849499272447,0.40441603822482997
92567,-0.13055768038309745,-0.8914471338112546,-0.8974603443299668,-0.6516322263802274,-0.002791936606855116,0.03893802156977331,-0.042497954673948776,-2.107997296249314,0.45443080605181113,0.1978330120721354,-0.25678995893670953,-0.20511935416437246
92570,1.2815194025608347,-0.9742354492921631,-1.2644723068805857,-1.1563797763583104,-0.8035246769846526,-0.9368414588441002,-0.5837054875173521,-1.1634328125904945,-0.3645447459355578,-0.4151981635875675,-1.31560800956413,-0.11665188096301952
